2025-04-08 20:43:37,994 - INFO - Found 705 images to process
2025-04-08 20:43:40,169 - INFO - Successfully preprocessed 215_image.jpg - Original: 1552x1552, Final: 1552x1552, Orientation: 0°
2025-04-08 20:43:40,937 - INFO - Successfully preprocessed 573_image.jpg - Original: 640x480, Final: 640x480, Orientation: 0°
2025-04-08 20:43:41,789 - INFO - Successfully preprocessed 391_image.jpeg - Original: 768x1024, Final: 1024x768, Orientation: 90°
2025-04-08 20:43:42,485 - INFO - Successfully preprocessed 144_image.jpg - Original: 768x1024, Final: 1024x768, Orientation: 90°
2025-04-08 20:43:43,025 - INFO - Successfully preprocessed 5_image.jpg - Original: 577x1024, Final: 1024x577, Orientation: 90°
2025-04-08 20:43:43,025 - INFO - Progress: 5/705 images processed
2025-04-08 20:43:43,743 - INFO - Successfully preprocessed 582_image.jpg - Original: 640x480, Final: 640x480, Orientation: 0°
2025-04-08 20:43:44,454 - INFO - Successfully preprocessed 42_image.jpeg - Original: 768x1024, Final: 1024x768, Orientation: 90°
2025-04-08 20:43:45,207 - INFO - Successfully preprocessed 17_image.jpeg - Original: 1599x1200, Final: 1599x1200, Orientation: 0°
2025-04-08 20:43:45,704 - INFO - Successfully preprocessed 149_image.jpg - Original: 512x1024, Final: 1024x512, Orientation: 90°
2025-04-08 20:43:46,774 - INFO - Successfully preprocessed 8_image.jpg - Original: 577x1024, Final: 1024x577, Orientation: 90°
2025-04-08 20:43:46,775 - INFO - Progress: 10/705 images processed
2025-04-08 20:43:48,122 - INFO - Successfully preprocessed 589_image.jpg - Original: 4032x3024, Final: 4032x3024, Orientation: 0°
2025-04-08 20:43:48,956 - INFO - Successfully preprocessed 138_image.jpg - Original: 864x1152, Final: 1152x864, Orientation: 90°
2025-04-08 20:43:50,479 - INFO - Successfully preprocessed 412_image.jpg - Original: 1598x898, Final: 1598x898, Orientation: 0°
2025-04-08 20:43:51,140 - INFO - Successfully preprocessed 575_image.jpg - Original: 640x480, Final: 640x480, Orientation: 0°
2025-04-08 20:43:51,855 - INFO - Successfully preprocessed 12_image.jpeg - Original: 1599x638, Final: 1599x638, Orientation: 0°
2025-04-08 20:43:53,107 - INFO - Successfully preprocessed 83_image.jpg - Original: 3024x4032, Final: 4032x3024, Orientation: 90°
2025-04-08 20:43:54,447 - INFO - Successfully preprocessed 584_image.jpg - Original: 4032x3024, Final: 4032x3024, Orientation: 0°
2025-04-08 20:43:55,843 - INFO - Successfully preprocessed 590_image.jpg - Original: 4032x3024, Final: 4032x3024, Orientation: 0°
2025-04-08 20:43:56,674 - INFO - Successfully preprocessed 488_image.jpeg - Original: 768x1024, Final: 1024x768, Orientation: 90°
2025-04-08 20:43:57,662 - INFO - Successfully preprocessed 697_image.jpeg - Original: 1024x768, Final: 1024x768, Orientation: 0°
2025-04-08 20:43:57,662 - INFO - Progress: 20/705 images processed
2025-04-08 20:43:58,375 - INFO - Successfully preprocessed 578_image.jpg - Original: 640x480, Final: 640x480, Orientation: 0°
2025-04-08 20:43:58,948 - INFO - Successfully preprocessed 674_image.jpeg - Original: 1149x306, Final: 1149x306, Orientation: 0°
2025-04-08 20:43:59,424 - INFO - Successfully preprocessed 702_image.jpeg - Original: 764x218, Final: 764x218, Orientation: 0°
2025-04-08 20:44:00,093 - INFO - Successfully preprocessed 673_image.jpeg - Original: 1149x286, Final: 1149x286, Orientation: 0°
2025-04-08 20:44:00,897 - INFO - Successfully preprocessed 214_image.jpg - Original: 3000x4000, Final: 4000x3000, Orientation: 90°
2025-04-08 20:44:01,755 - INFO - Successfully preprocessed 487_image.jpg - Original: 960x1280, Final: 1280x960, Orientation: 90°
2025-04-08 20:44:02,250 - INFO - Successfully preprocessed 705_image.jpeg - Original: 715x242, Final: 715x242, Orientation: 0°
2025-04-08 20:44:03,116 - INFO - Successfully preprocessed 4_image.jpg - Original: 577x1024, Final: 1024x577, Orientation: 90°
2025-04-08 20:44:04,887 - INFO - Successfully preprocessed 277_image.jpg - Original: 2448x3264, Final: 3264x2448, Orientation: 90°
2025-04-08 20:44:06,092 - INFO - Successfully preprocessed 15_image.jpeg - Original: 768x1024, Final: 1024x768, Orientation: 90°
2025-04-08 20:44:07,038 - INFO - Successfully preprocessed 662_image.jpeg - Original: 1024x768, Final: 1024x768, Orientation: 0°
2025-04-08 20:44:07,810 - INFO - Successfully preprocessed 583_image.jpg - Original: 640x480, Final: 640x480, Orientation: 0°
2025-04-08 20:44:08,476 - INFO - Successfully preprocessed 588_image.jpg - Original: 640x480, Final: 640x480, Orientation: 0°
2025-04-08 20:44:09,211 - INFO - Successfully preprocessed 294_image.jpg - Original: 1280x960, Final: 1280x960, Orientation: 0°
2025-04-08 20:44:10,561 - INFO - Successfully preprocessed 206_image.jpg - Original: 2322x4128, Final: 4128x2322, Orientation: 90°
2025-04-08 20:44:11,503 - INFO - Successfully preprocessed 698_image.jpeg - Original: 1024x768, Final: 1024x768, Orientation: 0°
2025-04-08 20:44:12,312 - INFO - Successfully preprocessed 574_image.jpg - Original: 640x480, Final: 640x480, Orientation: 0°
2025-04-08 20:44:13,475 - INFO - Successfully preprocessed 591_image.jpg - Original: 4032x3024, Final: 4032x3024, Orientation: 0°
2025-04-08 20:44:14,293 - INFO - Successfully preprocessed 676_image.jpeg - Original: 867x1156, Final: 1156x867, Orientation: 90°
2025-04-08 20:44:15,222 - INFO - Successfully preprocessed 585_image.jpg - Original: 640x480, Final: 640x480, Orientation: 0°
2025-04-08 20:44:15,222 - INFO - Progress: 40/705 images processed
2025-04-08 20:44:16,086 - INFO - Successfully preprocessed 579_image.jpg - Original: 640x480, Final: 640x480, Orientation: 0°
2025-04-08 20:44:16,888 - INFO - Successfully preprocessed 695_image.jpeg - Original: 1600x1200, Final: 1600x1200, Orientation: 0°
2025-04-08 20:44:17,711 - INFO - Successfully preprocessed 390_image.jpg - Original: 960x1280, Final: 1280x960, Orientation: 90°
